algorithm,purity,macro_f1,weighted_f1,accuracy,homogeneity,completeness,v_measure,nmi,ami,ari,fowlkes_mallows,bcubed_precision,bcubed_recall,bcubed_f1,divergence,runtime,params,method,dataset
iris_select_clusters_cfg3,0.9,0.7384615384615385,0.7253846153846154,0.65,0.8257823716367597,0.5947733286466527,0.6914946451140687,0.6914946451140688,0.6130902523500062,0.4986072423398329,0.6314801566485462,0.8666666666666666,0.6000000000000001,0.7090909090909091,0.565,0.32524609565734863,"{'random_state': 42, 'n_estimators': 15, 'max_depth': 6}",select_clusters,iris
iris_balance_lists_n_clusters_cfg3,0.8,0.8095238095238096,0.8,0.8,0.6179169827066097,0.6179169827066097,0.6179169827066097,0.6179169827066097,0.570254308307311,0.49874686716791977,0.6491228070175439,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.465,0.7871348857879639,"{'random_state': 42, 'n_estimators': 15, 'max_depth': 6}",balance_lists_n_clusters,iris
iris_max_prob_clusters_cfg3,0.65,0.5555555555555555,0.5333333333333333,0.65,0.5573237028426872,0.9999999999999992,0.7157454828759965,0.7157454828759965,0.6943114891879795,0.5070422535211268,0.7333047450116519,0.65,1.0,0.787878787878788,0.42000000000000004,0.43695068359375,"{'random_state': 42, 'n_estimators': 15, 'max_depth': 6}",max_prob_clusters,iris
iris_match_class_distribution_cfg3,0.65,0.5555555555555555,0.5333333333333333,0.65,0.5573237028426872,0.9999999999999992,0.7157454828759965,0.7157454828759965,0.6943114891879795,0.5070422535211268,0.7333047450116519,0.65,1.0,0.787878787878788,0.42000000000000004,0.31766748428344727,"{'random_state': 42, 'n_estimators': 15, 'max_depth': 6}",match_class_distribution,iris
iris_chimera_cfg3,0.7,0.7083333333333334,0.69375,0.7,0.5644559290918992,0.5797818778616318,0.5720162654131283,0.5720162654131283,0.5169069281887954,0.4103194103194103,0.5935614662907045,0.6577777777777778,0.6857142857142857,0.6714555765595464,0.42000000000000004,0.308349609375,"{'random_state': 42, 'n_estimators': 15, 'max_depth': 6}",chimera,iris
iris_menu_cfg3,0.65,0.5555555555555555,0.5333333333333333,0.65,0.5573237028426872,0.9999999999999992,0.7157454828759965,0.7157454828759965,0.6943114891879795,0.5070422535211268,0.7333047450116519,0.65,1.0,0.787878787878788,0.42000000000000004,0.3408041000366211,"{'random_state': 42, 'n_estimators': 15, 'max_depth': 6}",menu,iris
iris_select_clusters_cfg4,0.75,0.6199430199430199,0.610940170940171,0.6,0.5644559290918992,0.5008162051354503,0.5307351376069669,0.5307351376069669,0.43667642591515726,0.31645569620253167,0.5179397291175925,0.6666666666666666,0.6000000000000001,0.6315789473684211,0.42249999999999993,0.3202822208404541,"{'random_state': 42, 'n_estimators': 20, 'max_depth': 8}",select_clusters,iris
iris_balance_lists_n_clusters_cfg4,0.7,0.6897435897435898,0.6842307692307693,0.7,0.46184633020609966,0.4743862519810648,0.4680323110863095,0.46803231108630944,0.3995334771549396,0.3366093366093366,0.5426847691800727,0.5966666666666667,0.642857142857143,0.6189012677679602,0.385,0.7063851356506348,"{'random_state': 42, 'n_estimators': 20, 'max_depth': 8}",balance_lists_n_clusters,iris
iris_max_prob_clusters_cfg4,0.75,0.7064814814814815,0.7018055555555556,0.75,0.5211980581044606,0.6020222050652962,0.5587021789124827,0.5587021789124829,0.49777943736823227,0.4431554524361949,0.635601624934079,0.6444444444444444,0.7714285714285716,0.7022421524663677,0.4225,0.6888442039489746,"{'random_state': 42, 'n_estimators': 20, 'max_depth': 8}",max_prob_clusters,iris
iris_match_class_distribution_cfg4,0.7,0.5888888888888889,0.585,0.6,0.4980587383178465,0.428148721622133,0.4604653305585276,0.4604653305585276,0.3528885208125529,0.26735218508997427,0.47756693294091934,0.6133333333333333,0.5571428571428572,0.5838893409275834,0.38499999999999995,0.3375833034515381,"{'random_state': 42, 'n_estimators': 20, 'max_depth': 8}",match_class_distribution,iris
iris_chimera_cfg4,0.7,0.6897435897435898,0.6842307692307693,0.7,0.46184633020609966,0.4743862519810648,0.4680323110863095,0.46803231108630944,0.3995334771549396,0.3366093366093366,0.5426847691800727,0.5966666666666667,0.642857142857143,0.6189012677679602,0.385,0.34139013290405273,"{'random_state': 42, 'n_estimators': 20, 'max_depth': 8}",chimera,iris
iris_menu_cfg4,0.75,0.6199430199430199,0.610940170940171,0.6,0.5644559290918992,0.5008162051354503,0.5307351376069669,0.5307351376069669,0.43667642591515726,0.31645569620253167,0.5179397291175925,0.6666666666666666,0.6000000000000001,0.6315789473684211,0.42249999999999993,0.34250879287719727,"{'random_state': 42, 'n_estimators': 20, 'max_depth': 8}",menu,iris
iris_select_clusters_cfg5,0.75,0.6199430199430199,0.610940170940171,0.6,0.5644559290918992,0.5008162051354503,0.5307351376069669,0.5307351376069669,0.4366764259151573,0.31645569620253167,0.5179397291175925,0.6666666666666666,0.6000000000000001,0.6315789473684211,0.42249999999999993,0.3707122802734375,"{'random_state': 42, 'n_estimators': 25, 'max_depth': 10}",select_clusters,iris
