n_regions,dims,legacy_mean_ms,optimized_mean_ms,speedup,max_abs_diff
25,3,4.406211000021661,2.2570730000097683,1.9521792161806868,0.0
50,3,11.076465000011618,3.995848333336956,2.7719933480962724,0.0
100,3,54.23941999996865,9.82963233332157,5.5179500270932715,0.0
200,3,203.30684999998994,22.09404233334074,9.201885600318247,0.0
