scenario,task,run_id,strategy,duration_seconds,speedup_vs_rule_masks,n_summary_rows,within_memory_budget,summary_equal,max_abs_diff,branch_identity_equal,regions_equal,labels_equal,node_support_match_rate,node_support_max_abs_diff,node_effectiveness_max_abs_diff,min_speedup_vs_rule_masks
regression_mixed_bootstrap,regression,0,rule_masks,0.4254555000225082,1.0,2187.0,True,True,0.0,True,True,True,0.5542857142857143,15.0,264.1651223010467,
regression_mixed_bootstrap,regression,0,native_apply,0.36974280001595616,1.1506796075654422,2187.0,True,True,0.0,True,True,True,0.5542857142857143,15.0,264.1651223010467,
regression_mixed_bootstrap,regression,0,shared_prefix,0.2678925999207422,1.588156970921862,2187.0,True,True,0.0,True,True,True,0.5542857142857143,15.0,264.1651223010467,
regression_mixed_bootstrap,regression,1,rule_masks,0.42203080002218485,1.0,2187.0,True,True,0.0,True,True,True,0.5542857142857143,15.0,264.1651223010467,
regression_mixed_bootstrap,regression,1,native_apply,0.24707049992866814,1.7081391754338522,2187.0,True,True,0.0,True,True,True,0.5542857142857143,15.0,264.1651223010467,
regression_mixed_bootstrap,regression,1,shared_prefix,0.2969621999654919,1.4211599997280004,2187.0,True,True,0.0,True,True,True,0.5542857142857143,15.0,264.1651223010467,
regression_mixed_bootstrap,regression,2,rule_masks,0.39206509990617633,1.0,2187.0,True,True,0.0,True,True,True,0.5542857142857143,15.0,264.1651223010467,
regression_mixed_bootstrap,regression,2,native_apply,0.26208400004543364,1.4959520605539056,2187.0,True,True,0.0,True,True,True,0.5542857142857143,15.0,264.1651223010467,
regression_mixed_bootstrap,regression,2,shared_prefix,0.26923020009417087,1.4562448780598924,2187.0,True,True,0.0,True,True,True,0.5542857142857143,15.0,264.1651223010467,
regression_negative_no_bootstrap,regression,0,rule_masks,0.21715739998035133,1.0,1112.0,True,True,0.0,True,True,True,1.0,0.0,5.684341886080802e-14,
regression_negative_no_bootstrap,regression,0,native_apply,0.25542449997738004,0.8501823435088741,1112.0,True,True,0.0,True,True,True,1.0,0.0,5.684341886080802e-14,
regression_negative_no_bootstrap,regression,0,shared_prefix,0.17777290008962154,1.2215438903841624,1112.0,True,True,0.0,True,True,True,1.0,0.0,5.684341886080802e-14,
regression_negative_no_bootstrap,regression,1,rule_masks,0.23384399991482496,1.0,1112.0,True,True,0.0,True,True,True,1.0,0.0,5.684341886080802e-14,
regression_negative_no_bootstrap,regression,1,native_apply,0.13018039998132735,1.796307277811151,1112.0,True,True,0.0,True,True,True,1.0,0.0,5.684341886080802e-14,
regression_negative_no_bootstrap,regression,1,shared_prefix,0.15456060005817562,1.5129599640969793,1112.0,True,True,0.0,True,True,True,1.0,0.0,5.684341886080802e-14,
regression_negative_no_bootstrap,regression,2,rule_masks,0.2323513999581337,1.0,1112.0,True,True,0.0,True,True,True,1.0,0.0,5.684341886080802e-14,
regression_negative_no_bootstrap,regression,2,native_apply,0.13524249999318272,1.7180353806669206,1112.0,True,True,0.0,True,True,True,1.0,0.0,5.684341886080802e-14,
regression_negative_no_bootstrap,regression,2,shared_prefix,0.1593477000715211,1.458140907297977,1112.0,True,True,0.0,True,True,True,1.0,0.0,5.684341886080802e-14,
binary_bootstrap,classification,0,rule_masks,1.1048800999997184,1.0,4570.0,True,True,0.0,True,True,True,0.28835978835978837,44.0,0.8,
binary_bootstrap,classification,0,native_apply,0.3967541999882087,2.78479748930838,4570.0,True,True,0.0,True,True,True,0.28835978835978837,44.0,0.8,
binary_bootstrap,classification,0,shared_prefix,0.4230698000174016,2.6115787511996196,4570.0,True,True,0.0,True,True,True,0.28835978835978837,44.0,0.8,
binary_bootstrap,classification,1,rule_masks,1.74723990005441,1.0,4570.0,True,True,0.0,True,True,True,0.28835978835978837,44.0,0.8,
