cluster,cluster_description,cluster_weight,cluster_ef_sample,cluster_n_sample,cluster_count,cluster_desc_relative
282.0,0.5 <= cat__embarked_C <= 2.0 AND -3.224156079948338 <= num__age <= 0.740711 AND 0.5 <= cat__sex_female <= 2.0 AND 0.5 <= bool__alone_1 <= 2.0 AND -1.0 <= cat__embark_town_Queenstown <= 0.5 AND 0.5 <= cat__class_First <= 2.0,10.00472972972973,1.0,6.0,1.0,"cat__embarked_C = Percentile 100, num__age = Percentile 20, cat__sex_female = Percentile 100, bool__alone_1 = Percentile 100, cat__embark_town_Queenstown = Percentile 20, cat__class_First = Percentile 100."
283.0,0.5 <= cat__embarked_C <= 2.0 AND -3.224156079948338 <= num__age <= 0.740711 AND 0.5 <= cat__sex_female <= 2.0 AND 0.5 <= bool__alone_1 <= 2.0 AND -1.0 <= cat__embark_town_Queenstown <= 0.5 AND -1.0 <= cat__class_First <= 0.5,9.004054054054055,0.8000000000000002,5.0,1.0,"cat__embarked_C = Percentile 100, num__age = Percentile 20, cat__sex_female = Percentile 100, bool__alone_1 = Percentile 100, cat__embark_town_Queenstown = Percentile 20, cat__class_First = Percentile 20."
284.0,-1.4736736092984604 <= num__parch <= 0.146978 AND -2.566106925889158 <= num__pclass <= 0.229006 AND -1.0 <= cat__deck_C <= 0.5 AND -1.0 <= cat__sex_female <= 0.5 AND -0.020876 <= num__sibsp <= 7.784163299176891 AND 0.5 <= cat__class_First <= 2.0,8.338063063063062,0.6666666666666666,6.0,1.0,"num__parch = Percentile 20, num__pclass = Percentile 40, cat__deck_C = Percentile 20, cat__sex_female = Percentile 20, num__sibsp = Percentile 100, cat__class_First = Percentile 100."
285.0,0.5 <= bool__adult_male_0 <= 2.0 AND -1.6484216535389205 <= num__fare <= -0.479542 AND 0.229006 <= num__pclass <= 1.82737724386597 AND -1.0 <= bool__alone_0 <= 0.5 AND 0.5 <= cat__who_woman <= 2.0 AND -1.0 <= cat__embark_town_Queenstown <= 0.5,8.50743243243243,0.6999999999999998,10.0,1.0,"bool__adult_male_0 = Percentile 100, num__fare = Percentile 20, num__pclass = Percentile 100, bool__alone_0 = Percentile 20, cat__who_woman = Percentile 100, cat__embark_town_Queenstown = Percentile 20."
286.0,-0.063257 <= num__fare <= 10.667166525013505 AND 0.5 <= cat__sex_male <= 2.0 AND -3.224156079948338 <= num__age <= -1.987459 AND 0.146978 <= num__parch <= 7.974147318082627 AND 0.5 <= cat__deck_C <= 2.0 AND 0.5 <= cat__who_child <= 2.0,7.503378378378378,0.5,4.0,1.0,"num__fare = Percentile 100, cat__sex_male = Percentile 100, num__age = Percentile 20, num__parch = Percentile 100, cat__deck_C = Percentile 100, cat__who_child = Percentile 100."
287.0,-1.6484216535389205 <= num__fare <= -0.241072 AND 0.5 <= cat__sex_male <= 2.0 AND -1.4745451962498395 <= num__sibsp <= 1.793801 AND -1.0 <= cat__who_man <= 0.5,9.171396396396398,0.8333333333333334,6.0,1.0,"num__fare = Percentile 20, cat__sex_male = Percentile 100, num__sibsp = Percentile 80, cat__who_man = Percentile 20."
288.0,-0.143544 <= num__fare <= 10.667166525013505 AND 0.5 <= cat__sex_male <= 2.0 AND -1.4745451962498395 <= num__sibsp <= 0.886463 AND -1.0 <= cat__who_man <= 0.5,10.004054054054054,1.0,5.0,1.0,"num__fare = Percentile 100, cat__sex_male = Percentile 100, num__sibsp = Percentile 80, cat__who_man = Percentile 20."
289.0,-3.224156079948338 <= num__age <= 0.587011 AND -2.566106925889158 <= num__pclass <= 0.229006 AND 0.5 <= cat__sex_female <= 2.0 AND -1.0 <= cat__embark_town_Southampton <= 0.5,10.011486486486486,1.0,16.0,2.0,"num__age = Percentile 20, num__pclass = Percentile 40, cat__sex_female = Percentile 100, cat__embark_town_Southampton = Percentile 20."
290.0,-1.6484216535389205 <= num__fare <= -0.33537 AND -1.0 <= cat__sex_male <= 0.5 AND 0.5 <= cat__class_Third <= 2.0 AND 0.5 <= bool__alone_1 <= 2.0 AND -1.0 <= cat__embark_town_Queenstown <= 0.5,7.764189189189189,0.55,20.0,1.0,"num__fare = Percentile 20, cat__sex_male = Percentile 20, cat__class_Third = Percentile 100, bool__alone_1 = Percentile 100, cat__embark_town_Queenstown = Percentile 20."
291.0,-1.6484216535389205 <= num__fare <= -0.489861 AND 0.5 <= cat__sex_female <= 2.0 AND -1.0 <= cat__embarked_S <= 0.5 AND 0.5 <= cat__class_Third <= 2.0 AND 0.5 <= cat__who_woman <= 2.0,9.099017199017197,0.8181818181818181,11.0,1.0,"num__fare = Percentile 20, cat__sex_female = Percentile 100, cat__embarked_S = Percentile 20, cat__class_Third = Percentile 100, cat__who_woman = Percentile 100."
