cluster,cluster_description,cluster_weight,cluster_ef_sample,cluster_n_sample,cluster_count,cluster_desc_relative
42.0,3.3 <= petal_length <= 6.5 AND 4.75 <= sepal_length <= 5.35 AND 0.75 <= sepal_width <= 1.55,8.89281045751634,0.8333333333333334,3.0,1.0,"petal_length = Percentile 20, sepal_length = Percentile 80, sepal_width = Percentile 40."
43.0,5.45 <= petal_length <= 8.9 AND 5.35 <= sepal_length <= 7.9 AND -0.9 <= sepal_width <= 1.75,10.00294117647059,1.0,2.0,4.0,"petal_length = Percentile 100, sepal_length = Percentile 100, sepal_width = Percentile 40."
44.0,3.3 <= petal_length <= 6.95 AND 4.75 <= sepal_length <= 7.9 AND 1.55 <= sepal_width <= 1.75,6.669607843137254,0.5,2.0,2.0,"petal_length = Percentile 40, sepal_length = Percentile 100, sepal_width = Percentile 80."
45.0,3.3 <= petal_length <= 6.15 AND 4.75 <= sepal_length <= 7.9 AND 0.7 <= sepal_width <= 1.55,10.00294117647059,1.0,2.0,1.0,"petal_length = Percentile 20, sepal_length = Percentile 100, sepal_width = Percentile 40."
46.0,5.95 <= petal_length <= 8.9 AND 0.0 <= sepal_length <= 4.85 AND 1.7 <= sepal_width <= 3.5,10.00294117647059,1.0,2.0,1.0,"petal_length = Percentile 100, sepal_length = Percentile 40, sepal_width = Percentile 100."
47.0,3.3 <= petal_length <= 4.95 AND 0.0 <= sepal_length <= 4.75 AND 0.7 <= sepal_width <= 3.5,8.336274509803923,0.75,2.0,1.0,"petal_length = Percentile 20, sepal_length = Percentile 40, sepal_width = Percentile 100."
48.0,5.45 <= petal_length <= 8.9 AND 4.75 <= sepal_length <= 5.35 AND 1.55 <= sepal_width <= 1.7,6.669607843137254,0.5,2.0,1.0,"petal_length = Percentile 100, sepal_length = Percentile 80, sepal_width = Percentile 80."
49.0,7.1 <= petal_length <= 8.9 AND 2.45 <= sepal_length <= 7.9 AND -0.9 <= sepal_width <= 1.75,10.001960784313725,1.0,1.0,3.0,"petal_length = Percentile 100, sepal_length = Percentile 80, sepal_width = Percentile 40."
50.0,3.3 <= petal_length <= 5.05 AND 2.45 <= sepal_length <= 7.9 AND 1.35 <= sepal_width <= 1.75,10.001960784313725,1.0,1.0,2.0,"petal_length = Percentile 20, sepal_length = Percentile 80, sepal_width = Percentile 80."
51.0,3.3 <= petal_length <= 6.15 AND 4.85 <= sepal_length <= 5.35 AND -0.9 <= sepal_width <= 1.55,10.001960784313725,1.0,1.0,1.0,"petal_length = Percentile 20, sepal_length = Percentile 80, sepal_width = Percentile 40."
52.0,5.55 <= petal_length <= 6.25 AND 5.35 <= sepal_length <= 7.9 AND -0.9 <= sepal_width <= 1.7,10.001960784313725,1.0,1.0,1.0,"petal_length = Percentile 60, sepal_length = Percentile 100, sepal_width = Percentile 40."
53.0,3.3 <= petal_length <= 7.1 AND 5.35 <= sepal_length <= 7.9 AND 0.8 <= sepal_width <= 1.75,10.001960784313725,1.0,1.0,1.0,"petal_length = Percentile 40, sepal_length = Percentile 100, sepal_width = Percentile 60."
54.0,7.1 <= petal_length <= 8.9 AND 2.45 <= sepal_length <= 7.9 AND 1.35 <= sepal_width <= 1.75,10.001960784313725,1.0,1.0,1.0,"petal_length = Percentile 100, sepal_length = Percentile 80, sepal_width = Percentile 80."
55.0,6.95 <= petal_length <= 8.9 AND 4.75 <= sepal_length <= 7.9 AND 1.55 <= sepal_width <= 1.75,10.001960784313725,1.0,1.0,1.0,"petal_length = Percentile 100, sepal_length = Percentile 100, sepal_width = Percentile 80."
56.0,3.3 <= petal_length <= 4.95 AND 3.9 <= sepal_length <= 4.75 AND 0.8 <= sepal_width <= 3.5,10.001960784313725,1.0,1.0,1.0,"petal_length = Percentile 20, sepal_length = Percentile 60, sepal_width = Percentile 100."
57.0,3.3 <= petal_length <= 5.0 AND 3.9 <= sepal_length <= 5.05 AND -0.9 <= sepal_width <= 1.75,10.001960784313725,1.0,1.0,1.0,"petal_length = Percentile 20, sepal_length = Percentile 60, sepal_width = Percentile 40."
58.0,5.45 <= petal_length <= 5.95 AND 0.0 <= sepal_length <= 4.85 AND 1.7 <= sepal_width <= 3.5,6.668627450980392,0.5,1.0,1.0,"petal_length = Percentile 60, sepal_length = Percentile 40, sepal_width = Percentile 100."
59.0,4.95 <= sepal_length <= 7.9 AND 0.8 <= sepal_width <= 3.5,9.901150895140665,0.9782608695652174,46.0,2.0,"sepal_length = Percentile 100, sepal_width = Percentile 100."
60.0,4.85 <= sepal_length <= 7.9 AND 1.55 <= sepal_width <= 3.5,9.901150895140665,0.9782608695652174,46.0,2.0,"sepal_length = Percentile 100, sepal_width = Percentile 100."
61.0,0.0 <= sepal_length <= 4.85 AND 0.8 <= sepal_width <= 1.65,6.711764705882352,0.5,45.0,2.0,"sepal_length = Percentile 40, sepal_width = Percentile 60."
62.0,4.95 <= sepal_length <= 7.9 AND 0.8 <= sepal_width <= 1.55,10.003921568627451,1.0,3.0,2.0,"sepal_length = Percentile 100, sepal_width = Percentile 60."
63.0,5.35 <= sepal_length <= 7.9 AND 0.8 <= sepal_width <= 1.7,10.00294117647059,1.0,2.0,3.0,"sepal_length = Percentile 100, sepal_width = Percentile 60."
64.0,5.35 <= sepal_length <= 7.9 AND 1.35 <= sepal_width <= 1.75,10.00294117647059,1.0,2.0,1.0,"sepal_length = Percentile 100, sepal_width = Percentile 80."
