cluster_a,cluster_b,cluster_ef_a,cluster_ef_b,delta_ef,avg_n,variables_a,variables_b,difficulty_a,difficulty_b,n_intersection,n_only_a,n_only_b,intersection,intersection_ef_sample,intersection_n_sample,only_cluster_a,only_cluster_b,score,dataset,variables_intersection
2,1,1.0,0.5,0.5,12.0,"['petal_length', 'petal_width', 'sepal_length', 'sepal_width']","['petal_length', 'petal_width', 'sepal_length', 'sepal_width']",5,5,0,4,4,[],,,"['0.0 <= sepal_length <= 4.75', '0.75 <= sepal_width <= 3.5', '1.0 <= petal_width <= 2.55', '4.95 <= petal_length <= 8.9']","['1.0 <= petal_width <= 3.15', '1.75 <= sepal_width <= 3.5', '4.85 <= sepal_length <= 7.9', '6.6 <= petal_length <= 8.9']",0.04948464126834703,iris_experiment_3,[]
2,83,0.5,1.0,0.5,8.5,"['petal_length', 'petal_width', 'sepal_length', 'sepal_width']","['petal_width', 'sepal_length', 'sepal_width']",5,5,0,4,3,[],,,"['0.0 <= sepal_length <= 4.75', '0.75 <= sepal_width <= 3.5', '1.0 <= petal_width <= 2.55', '4.95 <= petal_length <= 8.9']","['0.0 <= sepal_length <= 4.95', '1.0 <= petal_width <= 3.1', '1.6 <= sepal_width <= 3.5']",0.046853473018382504,iris_experiment_2,[]
2,6,0.5,1.0,0.5,8.0,"['petal_length', 'petal_width', 'sepal_length', 'sepal_width']","['petal_length', 'petal_width', 'sepal_length', 'sepal_width']",5,5,0,4,4,[],,,"['0.0 <= sepal_length <= 4.75', '0.75 <= sepal_width <= 3.5', '1.0 <= petal_width <= 2.55', '4.95 <= petal_length <= 8.9']","['1.0 <= petal_width <= 3.0', '1.7 <= sepal_width <= 3.5', '2.6 <= sepal_length <= 4.95', '5.45 <= petal_length <= 8.9']",0.04040404040404041,iris_experiment_0,[]
2,5,0.5,1.0,0.5,8.0,"['petal_length', 'petal_width', 'sepal_length', 'sepal_width']","['petal_length', 'petal_width', 'sepal_length', 'sepal_width']",5,5,0,4,4,[],,,"['0.0 <= sepal_length <= 4.75', '0.75 <= sepal_width <= 3.5', '1.0 <= petal_width <= 2.55', '4.95 <= petal_length <= 8.9']","['1.0 <= petal_width <= 2.9', '1.6 <= sepal_width <= 3.5', '4.75 <= sepal_length <= 5.05', '5.45 <= petal_length <= 8.9']",0.04040404040404041,iris_experiment_1,[]
3,6,0.5,1.0,0.5,7.5,"['petal_length', 'petal_width', 'sepal_length', 'sepal_width']","['petal_length', 'petal_width', 'sepal_length', 'sepal_width']",5,5,0,4,4,[],,,"['-0.9 <= sepal_width <= 1.65', '2.45 <= sepal_length <= 4.95', '2.65 <= petal_width <= 2.85', '4.95 <= petal_length <= 8.9']","['1.0 <= petal_width <= 3.0', '1.7 <= sepal_width <= 3.5', '2.6 <= sepal_length <= 4.95', '5.45 <= petal_length <= 8.9']",0.03912104390108502,iris_experiment_4,[]
