cluster_1,cluster_2,similarity,delta_cluster_ef_sample,score
2.0,6.0,1.0,0.5,0.887
2.0,5.0,0.833,0.5,0.739
2.0,83.0,0.75,0.5,0.665
1.0,2.0,0.75,0.5,0.665
3.0,6.0,0.688,0.5,0.61
2.0,4.0,0.583,0.5,0.518
2.0,82.0,0.583,0.5,0.518
30.0,2.0,0.583,0.5,0.518
2.0,34.0,0.583,0.5,0.518
84.0,5.0,0.667,0.333,0.511
82.0,84.0,0.667,0.333,0.511
4.0,84.0,0.667,0.333,0.511
3.0,5.0,0.521,0.5,0.462
1.0,84.0,0.583,0.333,0.447
2.0,93.0,0.5,0.5,0.444
0.0,2.0,0.5,0.5,0.444
79.0,2.0,0.5,0.488,0.441
0.0,69.0,0.604,0.3,0.441
100.0,2.0,0.5,0.476,0.437
5.0,68.0,0.75,0.2,0.437
29.0,6.0,0.5,0.476,0.437
31.0,5.0,0.5,0.471,0.436
31.0,34.0,0.5,0.471,0.436
30.0,31.0,0.5,0.471,0.436
27.0,2.0,0.5,0.468,0.435
2.0,68.0,0.583,0.3,0.426
65.0,2.0,0.5,0.433,0.425
31.0,39.0,0.542,0.346,0.422
5.0,69.0,0.562,0.3,0.411
28.0,39.0,0.5,0.375,0.403
39.0,40.0,0.604,0.25,0.401
2.0,33.0,0.458,0.455,0.395
31.0,36.0,0.75,0.171,0.394
3.0,83.0,0.437,0.5,0.388
1.0,3.0,0.438,0.5,0.388
1.0,68.0,0.667,0.2,0.388
94.0,7.0,0.75,0.167,0.388
84.0,6.0,0.5,0.333,0.383
84.0,83.0,0.5,0.333,0.383
3.0,68.0,0.521,0.3,0.38
65.0,3.0,0.437,0.433,0.371
30.0,36.0,0.5,0.3,0.365
4.0,85.0,0.5,0.3,0.365
82.0,85.0,0.5,0.3,0.365
69.0,34.0,0.5,0.3,0.365
30.0,69.0,0.5,0.3,0.365
36.0,34.0,0.5,0.3,0.365
85.0,5.0,0.5,0.3,0.365
5.0,36.0,0.5,0.3,0.365
31.0,0.0,0.417,0.471,0.363
31.0,1.0,0.417,0.471,0.363
27.0,31.0,0.417,0.439,0.355
5.0,40.0,0.437,0.375,0.352
30.0,40.0,0.437,0.375,0.352
34.0,40.0,0.437,0.375,0.352
1.0,69.0,0.479,0.3,0.35
31.0,68.0,0.5,0.271,0.347
3.0,86.0,0.521,0.25,0.346
65.0,31.0,0.417,0.404,0.345
68.0,6.0,0.583,0.2,0.34
3.0,36.0,0.583,0.2,0.34
33.0,40.0,0.437,0.33,0.334
28.0,6.0,0.375,0.5,0.333
5.0,86.0,0.5,0.25,0.332
82.0,86.0,0.5,0.25,0.332
4.0,86.0,0.5,0.25,0.332
93.0,84.0,0.417,0.333,0.319
84.0,35.0,0.417,0.333,0.319
84.0,34.0,0.417,0.333,0.319
30.0,84.0,0.417,0.333,0.319
69.0,70.0,0.437,0.3,0.319
31.0,33.0,0.375,0.425,0.316
79.0,84.0,0.417,0.321,0.314
29.0,36.0,0.583,0.176,0.312
31.0,86.0,0.5,0.221,0.309
65.0,69.0,0.479,0.233,0.306
0.0,36.0,0.417,0.3,0.304
1.0,36.0,0.417,0.3,0.304
1.0,85.0,0.417,0.3,0.304
3.0,85.0,0.521,0.2,0.303
3.0,39.0,0.375,0.375,0.302
33.0,84.0,0.417,0.288,0.298
2.0,35.0,0.333,0.5,0.296
30.0,3.0,0.333,0.5,0.296
61.0,6.0,0.333,0.5,0.296
61.0,83.0,0.333,0.5,0.296
3.0,34.0,0.333,0.5,0.296
29.0,39.0,0.375,0.351,0.294
65.0,68.0,0.667,0.133,0.294
29.0,34.0,0.333,0.476,0.292
29.0,5.0,0.333,0.476,0.292
29.0,30.0,0.333,0.476,0.292
34.0,68.0,0.5,0.2,0.291
4.0,68.0,0.5,0.2,0.291
31.0,6.0,0.333,0.471,0.291
30.0,68.0,0.5,0.2,0.291
82.0,68.0,0.5,0.2,0.291
36.0,39.0,0.542,0.175,0.289
67.0,84.0,0.417,0.271,0.289
69.0,6.0,0.396,0.3,0.289
28.0,33.0,0.333,0.455,0.287
27.0,69.0,0.417,0.268,0.287
65.0,84.0,0.417,0.267,0.287
27.0,36.0,0.417,0.268,0.287
0.0,40.0,0.354,0.375,0.285
1.0,40.0,0.354,0.375,0.285
1.0,86.0,0.417,0.25,0.277
0.0,3.0,0.312,0.5,0.277
27.0,40.0,0.354,0.343,0.275
66.0,84.0,0.354,0.333,0.271
67.0,85.0,0.417,0.238,0.269
3.0,69.0,0.458,0.2,0.267
28.0,36.0,0.458,0.2,0.267
65.0,36.0,0.417,0.233,0.266
65.0,85.0,0.417,0.233,0.266
31.0,85.0,0.5,0.171,0.263
31.0,69.0,0.5,0.171,0.263
65.0,40.0,0.354,0.308,0.262
66.0,85.0,0.354,0.3,0.259
99.0,69.0,0.354,0.3,0.259
69.0,7.0,0.354,0.3,0.259
4.0,94.0,0.5,0.167,0.258
93.0,94.0,0.5,0.167,0.258
0.0,94.0,0.5,0.167,0.258
94.0,35.0,0.5,0.167,0.258
94.0,70.0,0.5,0.167,0.258
2.0,84.0,0.5,0.167,0.258
0.0,84.0,0.333,0.333,0.256
84.0,7.0,0.333,0.333,0.256
70.0,40.0,0.312,0.375,0.252
35.0,40.0,0.312,0.375,0.252
4.0,40.0,0.312,0.375,0.252
33.0,36.0,0.375,0.255,0.252
33.0,69.0,0.375,0.255,0.252
60.0,84.0,0.333,0.312,0.248
59.0,84.0,0.333,0.312,0.248
27.0,84.0,0.333,0.301,0.244
81.0,69.0,0.354,0.267,0.244
81.0,84.0,0.333,0.301,0.244
85.0,6.0,0.333,0.3,0.243
0.0,68.0,0.417,0.2,0.243
36.0,6.0,0.333,0.3,0.243
83.0,85.0,0.333,0.3,0.243
3.0,4.0,0.271,0.5,0.24
3.0,82.0,0.271,0.5,0.24
32.0,84.0,0.333,0.288,0.238
31.0,40.0,0.688,0.096,0.235
66.0,86.0,0.354,0.25,0.235
68.0,40.0,0.438,0.175,0.234
29.0,68.0,0.333,0.276,0.233
67.0,86.0,0.417,0.188,0.233
2.0,69.0,0.396,0.2,0.23
65.0,86.0,0.417,0.183,0.229
82.0,69.0,0.312,0.3,0.228
4.0,69.0,0.312,0.3,0.228
85.0,39.0,0.417,0.175,0.223
28.0,83.0,0.25,0.5,0.222
2.0,7.0,0.25,0.5,0.222
66.0,3.0,0.25,0.5,0.222
28.0,86.0,0.333,0.25,0.221
2.0,86.0,0.333,0.25,0.221
6.0,86.0,0.333,0.25,0.221
84.0,68.0,0.5,0.133,0.221
81.0,94.0,0.5,0.134,0.221
83.0,86.0,0.333,0.25,0.221
28.0,40.0,0.521,0.125,0.219
3.0,40.0,0.521,0.125,0.219
60.0,2.0,0.25,0.478,0.219
29.0,83.0,0.25,0.476,0.219
29.0,1.0,0.25,0.476,0.219
29.0,0.0,0.25,0.476,0.219
100.0,3.0,0.25,0.476,0.219
59.0,2.0,0.25,0.478,0.219
31.0,70.0,0.25,0.471,0.218
27.0,3.0,0.25,0.468,0.218
31.0,35.0,0.25,0.471,0.218
31.0,4.0,0.25,0.471,0.218
31.0,82.0,0.25,0.471,0.218
6.0,40.0,0.271,0.375,0.218
27.0,68.0,0.417,0.168,0.217
81.0,2.0,0.25,0.467,0.217
2.0,32.0,0.25,0.455,0.216
100.0,29.0,0.25,0.451,0.215
100.0,31.0,0.25,0.446,0.214
27.0,29.0,0.25,0.444,0.214
2.0,67.0,0.25,0.438,0.213
66.0,69.0,0.292,0.3,0.213
86.0,40.0,0.5,0.125,0.21
29.0,86.0,0.333,0.226,0.209
29.0,65.0,0.25,0.409,0.208
66.0,68.0,0.354,0.2,0.206
32.0,94.0,0.5,0.121,0.205
82.0,40.0,0.25,0.375,0.201
69.0,68.0,0.562,0.1,0.199
2.0,85.0,0.333,0.2,0.194
28.0,85.0,0.333,0.2,0.194
2.0,36.0,0.333,0.2,0.194
83.0,68.0,0.333,0.2,0.194
84.0,70.0,0.25,0.333,0.192
36.0,40.0,0.688,0.075,0.192
2.0,94.0,0.25,0.333,0.192
65.0,1.0,0.75,0.067,0.189
67.0,68.0,0.417,0.137,0.188
28.0,30.0,0.208,0.5,0.185
66.0,40.0,0.229,0.375,0.185
7.0,40.0,0.229,0.375,0.185
29.0,40.0,0.521,0.101,0.185
28.0,70.0,0.208,0.5,0.185
28.0,34.0,0.208,0.5,0.185
28.0,35.0,0.208,0.5,0.185
28.0,5.0,0.208,0.5,0.185
28.0,4.0,0.208,0.5,0.185
33.0,68.0,0.375,0.155,0.184
3.0,84.0,0.354,0.167,0.183
30.0,85.0,0.25,0.3,0.182
4.0,36.0,0.25,0.3,0.182
85.0,34.0,0.25,0.3,0.182
36.0,35.0,0.25,0.3,0.182
82.0,36.0,0.25,0.3,0.182
93.0,85.0,0.25,0.3,0.182
85.0,70.0,0.25,0.3,0.182
69.0,35.0,0.25,0.3,0.182
36.0,70.0,0.25,0.3,0.182
85.0,35.0,0.25,0.3,0.182
33.0,3.0,0.208,0.455,0.18
79.0,85.0,0.25,0.288,0.179
84.0,86.0,0.583,0.083,0.178
29.0,85.0,0.333,0.176,0.178
29.0,69.0,0.333,0.176,0.178
85.0,68.0,0.5,0.1,0.177
36.0,68.0,0.5,0.1,0.177
29.0,33.0,0.208,0.43,0.176
100.0,36.0,0.25,0.276,0.175
100.0,69.0,0.25,0.276,0.175
39.0,86.0,0.417,0.125,0.175
32.0,40.0,0.229,0.33,0.175
67.0,40.0,0.229,0.312,0.171
33.0,85.0,0.25,0.255,0.168
65.0,5.0,0.667,0.067,0.168
35.0,86.0,0.25,0.25,0.166
34.0,86.0,0.25,0.25,0.166
93.0,86.0,0.25,0.25,0.166
93.0,3.0,0.188,0.5,0.166
61.0,86.0,0.25,0.25,0.166
86.0,70.0,0.25,0.25,0.166
66.0,2.0,0.188,0.5,0.166
30.0,86.0,0.25,0.25,0.166
79.0,3.0,0.188,0.488,0.165
66.0,67.0,0.688,0.062,0.164
66.0,94.0,0.312,0.167,0.162
79.0,86.0,0.25,0.238,0.161
3.0,67.0,0.188,0.438,0.16
4.0,67.0,0.667,0.062,0.159
1.0,39.0,0.375,0.125,0.158
0.0,39.0,0.375,0.125,0.158
7.0,39.0,0.375,0.125,0.158
66.0,39.0,0.375,0.125,0.158
69.0,39.0,0.292,0.175,0.156
33.0,94.0,0.375,0.121,0.154
28.0,68.0,0.208,0.3,0.152
31.0,84.0,0.333,0.137,0.15
84.0,39.0,0.25,0.208,0.149
33.0,86.0,0.25,0.205,0.148
61.0,4.0,0.167,0.5,0.148
61.0,82.0,0.167,0.5,0.148
61.0,5.0,0.167,0.5,0.148
67.0,69.0,0.229,0.238,0.148
61.0,30.0,0.167,0.5,0.148
61.0,35.0,0.167,0.5,0.148
61.0,34.0,0.167,0.5,0.148
85.0,86.0,0.75,0.05,0.147
100.0,40.0,0.188,0.351,0.147
61.0,36.0,0.25,0.2,0.146
93.0,68.0,0.25,0.2,0.146
61.0,85.0,0.25,0.2,0.146
68.0,70.0,0.25,0.2,0.146
35.0,68.0,0.25,0.2,0.146
31.0,66.0,0.167,0.471,0.145
31.0,7.0,0.167,0.471,0.145
99.0,31.0,0.167,0.471,0.145
61.0,33.0,0.167,0.455,0.144
59.0,31.0,0.167,0.449,0.143
60.0,31.0,0.167,0.449,0.143
81.0,31.0,0.167,0.438,0.142
31.0,32.0,0.167,0.425,0.141
85.0,40.0,0.5,0.075,0.14
79.0,68.0,0.25,0.188,0.14
31.0,67.0,0.167,0.408,0.139
32.0,7.0,0.75,0.045,0.135
99.0,40.0,0.167,0.375,0.134
100.0,68.0,0.25,0.176,0.134
