cluster_1,cluster_2,similarity,delta_cluster_ef_sample,score
61.0,39.0,0.167,0.375,0.134
59.0,40.0,0.167,0.353,0.131
60.0,40.0,0.167,0.353,0.131
3.0,70.0,0.146,0.5,0.129
83.0,94.0,0.25,0.167,0.129
82.0,94.0,0.25,0.167,0.129
1.0,94.0,0.25,0.167,0.129
94.0,5.0,0.25,0.167,0.129
99.0,94.0,0.25,0.167,0.129
94.0,6.0,0.25,0.167,0.129
94.0,34.0,0.25,0.167,0.129
30.0,94.0,0.25,0.167,0.129
81.0,40.0,0.167,0.342,0.129
61.0,84.0,0.25,0.167,0.129
99.0,84.0,0.167,0.333,0.128
65.0,6.0,0.5,0.067,0.126
65.0,0.0,0.5,0.067,0.126
27.0,39.0,0.375,0.093,0.125
35.0,39.0,0.292,0.125,0.123
79.0,94.0,0.25,0.154,0.123
34.0,39.0,0.292,0.125,0.123
30.0,39.0,0.292,0.125,0.123
5.0,39.0,0.292,0.125,0.123
100.0,84.0,0.167,0.309,0.123
39.0,70.0,0.292,0.125,0.123
4.0,39.0,0.292,0.125,0.123
36.0,7.0,0.167,0.3,0.122
99.0,85.0,0.167,0.3,0.122
99.0,36.0,0.167,0.3,0.122
66.0,36.0,0.167,0.3,0.122
0.0,85.0,0.167,0.3,0.122
85.0,7.0,0.167,0.3,0.122
69.0,40.0,0.438,0.075,0.122
33.0,39.0,0.417,0.08,0.122
28.0,69.0,0.208,0.2,0.121
32.0,35.0,0.667,0.045,0.12
32.0,4.0,0.667,0.045,0.12
93.0,67.0,0.5,0.062,0.119
1.0,67.0,0.5,0.062,0.119
67.0,7.0,0.5,0.062,0.119
60.0,94.0,0.25,0.145,0.117
60.0,85.0,0.167,0.278,0.117
59.0,36.0,0.167,0.278,0.117
59.0,94.0,0.25,0.145,0.117
60.0,36.0,0.167,0.278,0.117
60.0,69.0,0.167,0.278,0.117
59.0,85.0,0.167,0.278,0.117
59.0,69.0,0.167,0.278,0.117
100.0,94.0,0.25,0.142,0.116
81.0,36.0,0.167,0.267,0.115
27.0,85.0,0.167,0.268,0.115
81.0,85.0,0.167,0.267,0.115
2.0,40.0,0.271,0.125,0.114
33.0,5.0,0.625,0.045,0.112
32.0,36.0,0.167,0.255,0.112
33.0,35.0,0.625,0.045,0.112
32.0,85.0,0.167,0.255,0.112
30.0,33.0,0.625,0.045,0.112
33.0,34.0,0.625,0.045,0.112
32.0,69.0,0.167,0.255,0.112
33.0,4.0,0.625,0.045,0.112
27.0,94.0,0.25,0.135,0.111
28.0,66.0,0.125,0.5,0.111
99.0,86.0,0.167,0.25,0.111
28.0,93.0,0.125,0.5,0.111
28.0,1.0,0.125,0.5,0.111
0.0,86.0,0.167,0.25,0.111
7.0,86.0,0.167,0.25,0.111
28.0,7.0,0.125,0.5,0.111
28.0,0.0,0.125,0.5,0.111
65.0,66.0,0.437,0.067,0.11
32.0,39.0,0.375,0.08,0.11
28.0,100.0,0.125,0.476,0.109
27.0,28.0,0.125,0.468,0.109
28.0,32.0,0.125,0.455,0.108
67.0,36.0,0.167,0.238,0.108
28.0,65.0,0.125,0.433,0.106
28.0,67.0,0.125,0.438,0.106
83.0,69.0,0.146,0.3,0.106
61.0,40.0,0.25,0.125,0.105
65.0,82.0,0.417,0.067,0.105
99.0,39.0,0.25,0.125,0.105
30.0,65.0,0.417,0.067,0.105
65.0,4.0,0.417,0.067,0.105
60.0,86.0,0.167,0.228,0.105
59.0,86.0,0.167,0.228,0.105
65.0,34.0,0.417,0.067,0.105
27.0,86.0,0.167,0.218,0.102
81.0,86.0,0.167,0.217,0.102
2.0,39.0,0.125,0.375,0.101
67.0,70.0,0.417,0.062,0.099
67.0,35.0,0.417,0.062,0.099
81.0,7.0,0.75,0.033,0.099
81.0,0.0,0.75,0.033,0.099
67.0,5.0,0.417,0.062,0.099
82.0,67.0,0.417,0.062,0.099
68.0,86.0,0.5,0.05,0.098
27.0,0.0,0.75,0.032,0.098
27.0,1.0,0.75,0.032,0.098
36.0,86.0,0.5,0.05,0.098
32.0,86.0,0.167,0.205,0.098
68.0,7.0,0.167,0.2,0.097
99.0,68.0,0.167,0.2,0.097
1.0,33.0,0.542,0.045,0.097
33.0,7.0,0.542,0.045,0.097
0.0,33.0,0.542,0.045,0.097
28.0,94.0,0.125,0.333,0.096
59.0,39.0,0.25,0.103,0.091
60.0,39.0,0.25,0.103,0.091
67.0,94.0,0.25,0.104,0.091
66.0,32.0,0.5,0.045,0.09
60.0,68.0,0.167,0.178,0.09
0.0,32.0,0.5,0.045,0.09
67.0,39.0,0.375,0.062,0.09
1.0,32.0,0.5,0.045,0.09
33.0,82.0,0.5,0.045,0.09
32.0,93.0,0.5,0.045,0.09
59.0,68.0,0.167,0.178,0.09
27.0,30.0,0.667,0.032,0.087
27.0,34.0,0.667,0.032,0.087
27.0,5.0,0.667,0.032,0.087
81.0,68.0,0.167,0.167,0.086
84.0,94.0,0.167,0.167,0.086
28.0,84.0,0.167,0.167,0.086
65.0,39.0,0.375,0.058,0.084
94.0,69.0,0.188,0.133,0.083
81.0,39.0,0.25,0.092,0.083
32.0,68.0,0.167,0.155,0.082
33.0,6.0,0.458,0.045,0.082
68.0,39.0,0.292,0.075,0.081
84.0,85.0,0.583,0.033,0.079
29.0,84.0,0.167,0.142,0.077
29.0,3.0,0.75,0.024,0.076
30.0,32.0,0.417,0.045,0.075
32.0,34.0,0.417,0.045,0.075
32.0,82.0,0.417,0.045,0.075
32.0,70.0,0.417,0.045,0.075
32.0,5.0,0.417,0.045,0.075
61.0,93.0,0.083,0.5,0.074
61.0,7.0,0.083,0.5,0.074
61.0,70.0,0.083,0.5,0.074
2.0,70.0,0.083,0.5,0.074
3.0,35.0,0.083,0.5,0.074
28.0,82.0,0.083,0.5,0.074
61.0,0.0,0.083,0.5,0.074
61.0,1.0,0.083,0.5,0.074
29.0,82.0,0.083,0.476,0.073
29.0,35.0,0.083,0.476,0.073
31.0,83.0,0.083,0.471,0.073
29.0,4.0,0.083,0.476,0.073
61.0,79.0,0.083,0.488,0.073
27.0,61.0,0.083,0.468,0.073
29.0,70.0,0.083,0.476,0.073
59.0,61.0,0.083,0.478,0.073
61.0,100.0,0.083,0.476,0.073
60.0,61.0,0.083,0.478,0.073
61.0,32.0,0.083,0.455,0.072
81.0,61.0,0.083,0.467,0.072
27.0,65.0,0.5,0.035,0.07
82.0,39.0,0.167,0.125,0.07
31.0,3.0,0.583,0.029,0.07
33.0,70.0,0.375,0.045,0.067
33.0,93.0,0.375,0.045,0.067
83.0,40.0,0.083,0.375,0.067
81.0,99.0,0.5,0.033,0.066
81.0,1.0,0.5,0.033,0.066
27.0,7.0,0.5,0.032,0.065
27.0,6.0,0.5,0.032,0.065
61.0,94.0,0.083,0.333,0.064
65.0,7.0,0.25,0.067,0.063
65.0,83.0,0.25,0.067,0.063
65.0,93.0,0.25,0.067,0.063
99.0,65.0,0.25,0.067,0.063
28.0,29.0,0.625,0.024,0.063
61.0,68.0,0.083,0.3,0.061
69.0,86.0,0.312,0.05,0.061
83.0,36.0,0.083,0.3,0.061
0.0,67.0,0.25,0.062,0.06
33.0,83.0,0.333,0.045,0.06
99.0,67.0,0.25,0.062,0.06
67.0,83.0,0.25,0.062,0.06
67.0,6.0,0.25,0.062,0.06
81.0,34.0,0.417,0.033,0.055
81.0,30.0,0.417,0.033,0.055
99.0,3.0,0.062,0.5,0.055
81.0,35.0,0.417,0.033,0.055
81.0,70.0,0.417,0.033,0.055
3.0,7.0,0.062,0.5,0.055
81.0,5.0,0.417,0.033,0.055
84.0,40.0,0.333,0.042,0.055
81.0,82.0,0.417,0.033,0.055
81.0,4.0,0.417,0.033,0.055
28.0,31.0,0.458,0.029,0.055
27.0,35.0,0.417,0.032,0.054
27.0,82.0,0.417,0.032,0.054
27.0,4.0,0.417,0.032,0.054
81.0,3.0,0.063,0.467,0.054
6.0,39.0,0.125,0.125,0.053
93.0,39.0,0.125,0.125,0.053
79.0,65.0,0.25,0.054,0.053
66.0,33.0,0.292,0.045,0.052
100.0,0.0,0.5,0.024,0.05
93.0,40.0,0.062,0.375,0.05
100.0,34.0,0.5,0.024,0.05
100.0,6.0,0.5,0.024,0.05
100.0,30.0,0.5,0.024,0.05
29.0,2.0,0.5,0.024,0.05
100.0,1.0,0.5,0.024,0.05
100.0,5.0,0.5,0.024,0.05
61.0,69.0,0.083,0.2,0.049
59.0,32.0,0.5,0.024,0.049
60.0,32.0,0.5,0.024,0.049
79.0,67.0,0.25,0.05,0.049
3.0,94.0,0.063,0.333,0.048
93.0,69.0,0.062,0.3,0.046
60.0,7.0,0.5,0.022,0.045
60.0,65.0,0.25,0.045,0.045
32.0,83.0,0.25,0.045,0.045
99.0,32.0,0.25,0.045,0.045
59.0,0.0,0.5,0.022,0.045
32.0,6.0,0.25,0.045,0.045
60.0,1.0,0.5,0.022,0.045
59.0,7.0,0.5,0.022,0.045
59.0,65.0,0.25,0.045,0.045
60.0,0.0,0.5,0.022,0.045
59.0,1.0,0.5,0.022,0.045
79.0,69.0,0.062,0.288,0.045
84.0,36.0,0.333,0.033,0.045
100.0,39.0,0.125,0.101,0.044
84.0,69.0,0.312,0.033,0.042
61.0,29.0,0.417,0.024,0.042
100.0,65.0,0.25,0.042,0.042
65.0,35.0,0.167,0.067,0.042
65.0,70.0,0.167,0.067,0.042
60.0,67.0,0.25,0.041,0.041
59.0,67.0,0.25,0.041,0.041
81.0,66.0,0.312,0.033,0.041
59.0,33.0,0.417,0.024,0.041
60.0,33.0,0.417,0.024,0.041
67.0,34.0,0.167,0.062,0.04
31.0,2.0,0.333,0.029,0.04
30.0,67.0,0.167,0.062,0.04
60.0,4.0,0.417,0.022,0.038
60.0,34.0,0.417,0.022,0.038
59.0,30.0,0.417,0.022,0.038
59.0,5.0,0.417,0.022,0.038
59.0,34.0,0.417,0.022,0.038
60.0,35.0,0.417,0.022,0.038
60.0,5.0,0.417,0.022,0.038
59.0,35.0,0.417,0.022,0.038
60.0,30.0,0.417,0.022,0.038
59.0,82.0,0.417,0.022,0.038
59.0,4.0,0.417,0.022,0.038
60.0,82.0,0.417,0.022,0.038
94.0,40.0,0.062,0.208,0.037
32.0,67.0,0.5,0.017,0.036
81.0,65.0,0.25,0.034,0.035
79.0,32.0,0.25,0.033,0.034
79.0,33.0,0.25,0.033,0.034
27.0,83.0,0.25,0.032,0.033
27.0,99.0,0.25,0.032,0.033
27.0,93.0,0.25,0.032,0.033
81.0,6.0,0.25,0.033,0.033
100.0,33.0,0.375,0.021,0.033
81.0,93.0,0.25,0.033,0.033
27.0,66.0,0.25,0.032,0.033
81.0,83.0,0.25,0.033,0.033
27.0,33.0,0.542,0.014,0.031
27.0,67.0,0.25,0.031,0.031
81.0,67.0,0.25,0.03,0.031
61.0,31.0,0.25,0.029,0.03
99.0,33.0,0.167,0.045,0.03
27.0,32.0,0.5,0.014,0.029
81.0,32.0,0.5,0.013,0.027
79.0,83.0,0.5,0.012,0.026
79.0,1.0,0.5,0.012,0.026
79.0,5.0,0.5,0.012,0.026
65.0,33.0,0.292,0.021,0.026
79.0,82.0,0.5,0.012,0.026
79.0,6.0,0.5,0.012,0.026
79.0,4.0,0.5,0.012,0.026
79.0,93.0,0.5,0.012,0.026
100.0,93.0,0.25,0.024,0.025
100.0,4.0,0.25,0.024,0.025
100.0,82.0,0.25,0.024,0.025
100.0,83.0,0.25,0.024,0.025
100.0,35.0,0.25,0.024,0.025
100.0,7.0,0.25,0.024,0.025
60.0,83.0,0.25,0.022,0.023
59.0,66.0,0.25,0.022,0.023
59.0,99.0,0.25,0.022,0.023
81.0,33.0,0.417,0.013,0.023
60.0,66.0,0.25,0.022,0.023
59.0,93.0,0.25,0.022,0.023
60.0,93.0,0.25,0.022,0.023
59.0,6.0,0.25,0.022,0.023
81.0,60.0,0.5,0.011,0.023
60.0,6.0,0.25,0.022,0.023
81.0,59.0,0.5,0.011,0.023
59.0,83.0,0.25,0.022,0.023
60.0,99.0,0.25,0.022,0.023
100.0,32.0,0.25,0.021,0.022
27.0,70.0,0.167,0.032,0.022
27.0,60.0,0.5,0.01,0.022
27.0,59.0,0.5,0.01,0.022
65.0,32.0,0.25,0.021,0.022
33.0,67.0,0.292,0.017,0.021
81.0,79.0,0.25,0.02,0.021
94.0,39.0,0.125,0.042,0.021
27.0,79.0,0.25,0.02,0.021
27.0,100.0,0.5,0.008,0.016
59.0,70.0,0.167,0.022,0.015
60.0,70.0,0.167,0.022,0.015
79.0,35.0,0.25,0.012,0.013
79.0,34.0,0.25,0.012,0.013
79.0,7.0,0.25,0.012,0.013
79.0,30.0,0.25,0.012,0.013
29.0,31.0,0.583,0.005,0.013
79.0,0.0,0.25,0.012,0.013
79.0,100.0,0.25,0.012,0.013
79.0,66.0,0.188,0.012,0.01
59.0,79.0,0.25,0.01,0.01
60.0,79.0,0.25,0.01,0.01
65.0,67.0,0.5,0.004,0.009
81.0,100.0,0.25,0.008,0.009
59.0,100.0,0.25,0.003,0.003
60.0,100.0,0.25,0.003,0.003
27.0,81.0,0.5,0.001,0.002
4.0,34.0,0.5,0.0,0.0
28.0,2.0,0.375,0.0,0.0
99.0,35.0,0.167,0.0,0.0
5.0,70.0,0.25,0.0,0.0
61.0,67.0,0.0,0.438,0.0
69.0,36.0,0.5,0.0,0.0
99.0,5.0,0.167,0.0,0.0
99.0,83.0,0.0,0.0,0.0
99.0,82.0,0.167,0.0,0.0
99.0,4.0,0.167,0.0,0.0
99.0,93.0,0.0,0.0,0.0
99.0,2.0,0.0,0.5,0.0
99.0,66.0,0.312,0.0,0.0
99.0,1.0,0.25,0.0,0.0
99.0,0.0,0.5,0.0,0.0
30.0,70.0,0.25,0.0,0.0
30.0,7.0,0.417,0.0,0.0
30.0,6.0,0.583,0.0,0.0
30.0,34.0,0.75,0.0,0.0
99.0,34.0,0.167,0.0,0.0
5.0,7.0,0.417,0.0,0.0
5.0,6.0,0.833,0.0,0.0
61.0,66.0,0.0,0.5,0.0
31.0,94.0,0.0,0.304,0.0
85.0,69.0,0.312,0.0,0.0
85.0,36.0,0.5,0.0,0.0
81.0,29.0,0.0,0.443,0.0
31.0,93.0,0.0,0.471,0.0
61.0,99.0,0.0,0.5,0.0
61.0,65.0,0.0,0.433,0.0
81.0,28.0,0.0,0.467,0.0
99.0,6.0,0.0,0.0,0.0
61.0,2.0,0.333,0.0,0.0
65.0,94.0,0.0,0.1,0.0
61.0,3.0,0.417,0.0,0.0
99.0,70.0,0.417,0.0,0.0
99.0,7.0,0.5,0.0,0.0
5.0,35.0,0.5,0.0,0.0
5.0,34.0,0.75,0.0,0.0
30.0,35.0,0.5,0.0,0.0
30.0,5.0,0.75,0.0,0.0
30.0,83.0,0.333,0.0,0.0
100.0,85.0,0.0,0.276,0.0
29.0,32.0,0.0,0.43,0.0
29.0,66.0,0.0,0.476,0.0
6.0,7.0,0.25,0.0,0.0
29.0,99.0,0.0,0.476,0.0
100.0,70.0,0.0,0.024,0.0
6.0,70.0,0.083,0.0,0.0
100.0,86.0,0.0,0.226,0.0
100.0,67.0,0.0,0.038,0.0
29.0,67.0,0.0,0.413,0.0
7.0,70.0,0.667,0.0,0.0
100.0,66.0,0.0,0.024,0.0
100.0,99.0,0.0,0.024,0.0
79.0,40.0,0.0,0.363,0.0
79.0,70.0,0.0,0.012,0.0
79.0,39.0,0.0,0.113,0.0
79.0,36.0,0.0,0.288,0.0
29.0,93.0,0.0,0.476,0.0
79.0,31.0,0.0,0.458,0.0
30.0,82.0,0.5,0.0,0.0
35.0,70.0,0.5,0.0,0.0
30.0,4.0,0.5,0.0,0.0
35.0,34.0,0.5,0.0,0.0
30.0,93.0,0.25,0.0,0.0
35.0,6.0,0.333,0.0,0.0
35.0,7.0,0.667,0.0,0.0
30.0,66.0,0.167,0.0,0.0
30.0,1.0,0.667,0.0,0.0
30.0,0.0,0.667,0.0,0.0
29.0,94.0,0.0,0.309,0.0
30.0,99.0,0.167,0.0,0.0
34.0,6.0,0.583,0.0,0.0
34.0,7.0,0.417,0.0,0.0
29.0,7.0,0.0,0.476,0.0
79.0,29.0,0.0,0.463,0.0
