dataset,traditional_elapsed_seconds,multiclass_elapsed_seconds,traditional_rf_accuracy,multiclass_rf_accuracy,traditional_assignment_accuracy_aligned,multiclass_assignment_accuracy,traditional_cluster_count,traditional_unmatched_rate,multiclass_rule_count,multiclass_fallback_rate,multiclass_conflict_rate
iris,1.9424718000227585,0.36990439996588975,1.0,1.0,0.4533333333333333,0.9733333333333334,22,0.3,375,0.0,0.0
titanic,14.600384399993345,1.3081629000371322,0.8473625140291807,0.8698092031425365,0.1526374859708193,0.8237934904601572,36,0.39730639730639733,64,0.0819304152637486,0.050505050505050504
