cluster_1,cluster_2,similarity,delta_cluster_ef_sample,score
276.0,218.0,0.0,0.081,0.0
276.0,89.0,0.0,0.103,0.0
276.0,156.0,0.034,0.0,0.0
276.0,381.0,0.0,0.0,0.0
276.0,13.0,0.0,0.429,0.0
276.0,2.0,0.0,0.119,0.0
276.0,294.0,0.034,0.0,0.0
276.0,181.0,0.069,0.0,0.0
276.0,78.0,0.034,0.0,0.0
276.0,48.0,0.0,0.432,0.0
179.0,189.0,0.0,0.091,0.0
179.0,64.0,0.0,0.515,0.0
179.0,255.0,0.0,0.088,0.0
179.0,384.0,0.0,0.167,0.0
293.0,179.0,0.034,0.0,0.0
391.0,64.0,0.0,0.411,0.0
393.0,381.0,0.0,0.02,0.0
360.0,294.0,0.0,0.062,0.0
360.0,374.0,0.0,0.062,0.0
192.0,64.0,0.0,0.393,0.0
192.0,275.0,0.0,0.095,0.0
192.0,120.0,0.0,0.068,0.0
192.0,215.0,0.0,0.283,0.0
192.0,89.0,0.0,0.02,0.0
192.0,72.0,0.0,0.031,0.0
192.0,156.0,0.0,0.122,0.0
192.0,387.0,0.0,0.303,0.0
192.0,323.0,0.034,0.0,0.0
192.0,424.0,0.0,0.317,0.0
192.0,13.0,0.0,0.306,0.0
192.0,2.0,0.0,0.003,0.0
192.0,294.0,0.0,0.122,0.0
192.0,181.0,0.0,0.122,0.0
192.0,48.0,0.0,0.309,0.0
192.0,179.0,0.0,0.122,0.0
192.0,293.0,0.0,0.122,0.0
192.0,391.0,0.0,0.018,0.0
192.0,374.0,0.0,0.003,0.0
393.0,189.0,0.0,0.071,0.0
393.0,215.0,0.0,0.385,0.0
393.0,218.0,0.0,0.061,0.0
393.0,72.0,0.0,0.134,0.0
393.0,156.0,0.0,0.02,0.0
360.0,48.0,0.0,0.369,0.0
360.0,387.0,0.0,0.363,0.0
391.0,215.0,0.0,0.301,0.0
360.0,381.0,0.0,0.062,0.0
391.0,218.0,0.0,0.023,0.0
391.0,156.0,0.0,0.104,0.0
391.0,381.0,0.0,0.104,0.0
391.0,387.0,0.0,0.321,0.0
391.0,101.0,0.0,0.039,0.0
391.0,294.0,0.0,0.104,0.0
391.0,181.0,0.0,0.104,0.0
391.0,78.0,0.0,0.104,0.0
391.0,48.0,0.0,0.328,0.0
391.0,276.0,0.0,0.104,0.0
391.0,179.0,0.0,0.104,0.0
391.0,96.0,0.0,0.3,0.0
374.0,189.0,0.0,0.034,0.0
374.0,275.0,0.0,0.097,0.0
374.0,120.0,0.0,0.071,0.0
374.0,215.0,0.0,0.28,0.0
374.0,323.0,0.0,0.003,0.0
374.0,424.0,0.0,0.314,0.0
374.0,294.0,0.0,0.125,0.0
374.0,181.0,0.0,0.125,0.0
374.0,78.0,0.0,0.125,0.0
360.0,64.0,0.0,0.453,0.0
360.0,218.0,0.0,0.019,0.0
360.0,89.0,0.0,0.04,0.0
360.0,72.0,0.0,0.091,0.0
64.0,189.0,0.0,0.424,0.0
